,vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
102,928.1565748,640.9173464,921.6023536,1465.979512,947.6488409,1503.170812,930.2898945,656.9365947,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.161666871,-15.98121103,-7.819544156,-394.9059715609278
103,928.214826,640.9173418,921.602347,1466.037759,947.7629425,1503.170801,930.2898879,657.0506983,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.150534866,-15.96912956,-7.818594698,-394.8501109992351
104,928.2729972,640.9173372,921.6023404,1466.095926,947.8769572,1503.17079,930.2898812,657.1647152,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.1392648,-15.95689639,-7.81763159,-394.7942571123849
105,928.3310875,640.9173326,921.6023338,1466.154013,947.9908841,1503.17078,930.2898746,657.2786441,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.127856366,-15.94451241,-7.816656042,-394.7384100074278
106,928.3890957,640.9173281,921.6023273,1466.212017,948.1047219,1503.170769,930.2898679,657.392484,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.116309309,-15.93197847,-7.815669161,-394.6825697817851
107,928.447021,640.9173235,921.6023207,1466.269939,948.2184697,1503.170758,930.2898613,657.5062338,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.104623428,-15.91929538,-7.814671954,-394.62673652432795
108,928.5048623,640.9173189,921.6023141,1466.327776,948.3321263,1503.170747,930.2898546,657.6198926,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.092798565,-15.9064639,-7.81366534,-394.570910316035
109,928.5626186,640.9173143,921.6023075,1466.385529,948.4456908,1503.170737,930.289848,657.7334591,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.080834604,-15.89348476,-7.81265016,-394.51509123066353
110,928.620289,640.9173097,921.6023009,1466.443195,948.559162,1503.170726,930.2898414,657.8469324,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.068731469,-15.88035865,-7.811627178,-394.4592793354136
111,928.6778725,640.9173052,921.6022943,1466.500775,948.672539,1503.170715,930.2898347,657.9603115,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.056489118,-15.86708621,-7.810597093,-394.40347469144194
