vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
1088.497769,295.5979841,1059.775275,1507.824757,1081.482579,1542.400966,1104.733746,292.3307565,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.381816472,-18.63487102,-11.25305454,-562.6527271
1088.550359,295.597982,1059.775267,1507.877343,1081.615811,1542.400955,1104.733739,292.4639937,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.345442452,-18.67211359,-11.32667114,-566.3335569
1088.6027,295.5979798,1059.77526,1507.929681,1081.749296,1542.400944,1104.733731,292.5974844,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.312203966,-18.70588207,-11.3936781,-569.6839051
1088.654813,295.5979777,1059.775252,1507.981792,1081.883011,1542.400933,1104.733723,292.731205,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.281811189,-18.73646661,-11.45465541,-572.7327708
1088.706719,295.5979756,1059.775244,1508.033695,1082.016934,1542.400922,1104.733715,292.8651336,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.253999743,-18.76413192,-11.51013217,-575.5066086
1088.758435,295.5979735,1059.775237,1508.085407,1082.151045,1542.400911,1104.733707,292.9992503,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.228528465,-18.78911951,-11.56059104,-578.0295519
1088.809976,295.5979714,1059.775229,1508.136945,1082.285326,1542.4009,1104.733699,293.1335366,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.205177368,-18.8116497,-11.60647233,-580.3236165
1088.861357,295.5979693,1059.775222,1508.188324,1082.419759,1542.400889,1104.733691,293.2679759,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.183745788,-18.83192352,-11.64817773,-582.4088865
1088.912592,295.5979672,1059.775214,1508.239555,1082.55433,1542.400878,1104.733683,293.4025525,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.164050682,-18.85012435,-11.68607367,-584.3036835
1088.963691,295.5979651,1059.775207,1508.290651,1082.689025,1542.400867,1104.733675,293.5372524,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.14592509,-18.86641953,-11.72049443,-586.0247216
1089.014666,295.597963,1059.775199,1508.341623,1082.823829,1542.400856,1104.733668,293.6720624,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.129216716,-18.88096169,-11.75174497,-587.5872485
1089.065526,295.5979608,1059.775191,1508.39248,1082.958731,1542.400845,1104.73366,293.8069704,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.113786645,-18.89389012,-11.78010347,-589.0051737
1089.11628,295.5979587,1059.775184,1508.443231,1083.093721,1542.400834,1104.733652,293.9419656,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.099508172,-18.9053319,-11.80582372,-590.2911864
1089.166935,295.5979566,1059.775176,1508.493884,1083.228787,1542.400823,1104.733644,294.0770375,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.086265725,-18.91540297,-11.82913724,-591.4568622
1089.2175,295.5979545,1059.775169,1508.544445,1083.363921,1542.400812,1104.733636,294.2121769,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.073953893,-18.92420912,-11.85025522,-592.5127613
1089.267979,295.5979524,1059.775161,1508.594922,1083.499113,1542.400801,1104.733628,294.347375,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.062476532,-18.93184687,-11.86937034,-593.4685169
1089.31838,295.5979503,1059.775154,1508.645319,1083.634356,1542.40079,1104.73362,294.4826238,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.051745953,-18.9384043,-11.88665835,-594.3329174
1089.368705,295.5979482,1059.775146,1508.695642,1083.769643,1542.400779,1104.733612,294.6179158,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.041682181,-18.94396178,-11.90227959,-595.1139796
1089.418962,295.5979461,1059.775138,1508.745895,1083.904966,1542.400768,1104.733604,294.7532443,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.032212275,-18.94859262,-11.91638034,-595.8190172
1089.469152,295.597944,1059.775131,1508.796082,1084.040319,1542.400757,1104.733597,294.8886027,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.023269715,-18.95236376,-11.92909404,-596.4547019
1089.51928,295.5979418,1059.775123,1508.846208,1084.175695,1542.400746,1104.733589,295.0239853,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.014793839,-18.95533625,-11.9405424,-597.0271203
